epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,220.484,1.78394,2.39992,1.0973,0.32824,0.23754,0.159,0.08798,1.60744,1.57095,1.05816,0.000237779,0.000237779,0.000237779
2,449.335,1.64803,1.59694,1.04533,0.28414,0.27218,0.20111,0.11187,1.56047,1.41742,1.04387,0.000466359,0.000466359,0.000466359
3,671.922,1.61602,1.48118,1.0325,0.33313,0.29294,0.23361,0.1317,1.53281,1.34787,1.02937,0.000685514,0.000685514,0.000685514
4,900.061,1.59725,1.41567,1.02767,0.33543,0.29554,0.24023,0.13345,1.53923,1.32342,1.02407,0.000671588,0.000671588,0.000671588
5,1131.35,1.57047,1.36147,1.02143,0.35675,0.31042,0.25232,0.14098,1.51903,1.28195,1.01668,0.000657451,0.000657451,0.000657451
6,1369.56,1.55306,1.3203,1.01345,0.35775,0.31937,0.26156,0.15055,1.48554,1.27378,1.00299,0.000643314,0.000643314,0.000643314
7,1605.72,1.54741,1.29761,1.00916,0.36212,0.31673,0.27513,0.15584,1.49156,1.23693,1.00652,0.000629177,0.000629177,0.000629177
8,1843.89,1.52912,1.26784,1.00263,0.38763,0.3356,0.28824,0.16523,1.46085,1.22033,1.00016,0.00061504,0.00061504,0.00061504
9,2083.24,1.52626,1.25466,1.00159,0.38848,0.3402,0.29032,0.16821,1.45654,1.2071,0.99876,0.000600902,0.000600902,0.000600902
10,2321.23,1.51364,1.23012,0.99576,0.39102,0.34837,0.30206,0.17545,1.45014,1.19677,0.99404,0.000586765,0.000586765,0.000586765
11,2561.57,1.51693,1.22083,0.99561,0.39932,0.34417,0.30308,0.17494,1.43851,1.18548,0.99525,0.000572628,0.000572628,0.000572628
12,2798.24,1.50261,1.21349,0.99327,0.41351,0.34623,0.31099,0.1776,1.4552,1.16701,0.99763,0.000558491,0.000558491,0.000558491
13,3036.25,1.49774,1.19996,0.9898,0.41347,0.35211,0.30717,0.17713,1.43049,1.16067,0.98944,0.000544354,0.000544354,0.000544354
14,3279.52,1.48517,1.18364,0.9872,0.42839,0.35288,0.31421,0.18281,1.42427,1.14744,0.9899,0.000530216,0.000530216,0.000530216
15,3518.62,1.48202,1.17011,0.98383,0.42353,0.35229,0.31764,0.18442,1.42807,1.1385,0.98768,0.000516079,0.000516079,0.000516079
16,3756.11,1.46605,1.15598,0.9831,0.4365,0.35178,0.32726,0.19119,1.42389,1.13719,0.98567,0.000501942,0.000501942,0.000501942
17,3996.3,1.47616,1.15513,0.98206,0.42514,0.35756,0.32223,0.18804,1.42347,1.13465,0.98786,0.000487805,0.000487805,0.000487805
18,4240.45,1.46996,1.14837,0.97851,0.42404,0.35626,0.32555,0.18896,1.41941,1.12754,0.98555,0.000473668,0.000473668,0.000473668
19,4478.41,1.45974,1.14123,0.97822,0.43444,0.35613,0.32598,0.19146,1.41433,1.12314,0.98107,0.00045953,0.00045953,0.00045953
20,4714.89,1.45977,1.13132,0.97693,0.44125,0.36752,0.33202,0.193,1.41337,1.11979,0.98596,0.000445393,0.000445393,0.000445393
21,4954.59,1.46042,1.12944,0.97556,0.43138,0.36312,0.33111,0.19266,1.40937,1.11793,0.97896,0.000431256,0.000431256,0.000431256
22,5188.94,1.45424,1.12456,0.97485,0.43024,0.36357,0.33116,0.19368,1.40079,1.11145,0.97976,0.000417119,0.000417119,0.000417119
23,5423.11,1.4444,1.11044,0.97182,0.43388,0.37346,0.34115,0.20002,1.40367,1.10042,0.97976,0.000402982,0.000402982,0.000402982
24,5657.87,1.44499,1.10633,0.97108,0.45953,0.36416,0.34259,0.19898,1.39557,1.10171,0.97844,0.000388844,0.000388844,0.000388844
25,5898.69,1.44413,1.10459,0.97067,0.45304,0.3663,0.34052,0.19952,1.39517,1.09412,0.97856,0.000374707,0.000374707,0.000374707
26,6143.69,1.43795,1.09878,0.97057,0.45841,0.36781,0.35108,0.20469,1.3895,1.09218,0.97539,0.00036057,0.00036057,0.00036057
27,6386.54,1.43427,1.08689,0.96626,0.46056,0.37006,0.34859,0.20545,1.39222,1.08666,0.97605,0.000346433,0.000346433,0.000346433
28,6629.34,1.4344,1.0868,0.9664,0.45403,0.37268,0.34575,0.20144,1.39661,1.0857,0.97554,0.000332296,0.000332296,0.000332296
29,6870.95,1.43336,1.08597,0.96762,0.458,0.37877,0.35365,0.20697,1.39206,1.07632,0.97405,0.000318158,0.000318158,0.000318158
30,7119.41,1.42129,1.07388,0.96243,0.45908,0.38031,0.35571,0.20782,1.38597,1.0738,0.97137,0.000304021,0.000304021,0.000304021
31,7363.19,1.4273,1.07568,0.96392,0.46741,0.37748,0.35588,0.21013,1.38144,1.06669,0.97422,0.000289884,0.000289884,0.000289884
32,7604.02,1.41411,1.06232,0.96011,0.47212,0.3794,0.35698,0.20985,1.38042,1.06705,0.97135,0.000275747,0.000275747,0.000275747
33,7851.16,1.41685,1.061,0.96122,0.48086,0.37646,0.36068,0.21218,1.38101,1.0665,0.97235,0.00026161,0.00026161,0.00026161
34,8092.36,1.41878,1.05752,0.95883,0.47018,0.38294,0.35974,0.21176,1.37709,1.06426,0.96897,0.000247472,0.000247472,0.000247472
35,8340.61,1.41274,1.05348,0.9582,0.47228,0.38136,0.36111,0.21377,1.37729,1.06436,0.97049,0.000233335,0.000233335,0.000233335
36,8587.39,1.40021,1.04245,0.95766,0.4745,0.37456,0.35931,0.21052,1.38625,1.06425,0.9716,0.000219198,0.000219198,0.000219198
37,8833.26,1.40019,1.03611,0.95662,0.46656,0.38481,0.36161,0.21375,1.37645,1.05691,0.96848,0.000205061,0.000205061,0.000205061
38,9075.41,1.39523,1.03676,0.95684,0.48954,0.37806,0.36763,0.21668,1.37253,1.05287,0.96779,0.000190924,0.000190924,0.000190924
